id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,lat,long
7129300520,20141013T000000,221900,3,1,1180,5650,1,7,1180,0,1955,0,98178,1340,5650,47.5112,-122.257
6414100192,20141209T000000,538000,3,2.25,2570,7242,2,7,2170,400,1951,1991,98125,1690,7639,47.721,-122.319
5631500400,20150225T000000,180000,2,1,770,10000,1,6,770,0,1933,0,98028,2720,8062,47.7379,-122.233
2487200875,20141209T000000,604000,4,3,1960,5000,1,7,1050,910,1965,0,98136,1360,5000,47.5208,-122.393
1954400510,20150218T000000,510000,3,2,1680,8080,1,8,1680,0,1987,0,98074,1800,7503,47.6168,-122.045
7237550310,20140512T000000,1225000,4,4.5,5420,101930,1,11,3890,1530,2001,0,98053,4760,101930,47.6561,-122.005
1321400060,20140627T000000,257500,3,2.25,1715,6819,2,7,1715,0,1995,0,98003,2238,6819,47.3097,-122.327
2008000270,20150115T000000,291850,3,1.5,1060,9711,1,7,1060,0,1963,0,98198,1650,9711,47.4095,-122.315
2414600126,20150415T000000,229500,3,1,1780,7470,1,7,1050,730,1960,0,98146,1780,8113,47.5123,-122.337
3793500160,20150312T000000,323000,3,2.5,1890,6560,2,7,1890,0,2003,0,98038,2390,7570,47.3684,-122.031
1736800520,20150403T000000,662500,3,2.5,3560,9796,1,8,1860,1700,1965,0,98007,2210,8925,47.6007,-122.145
9212900260,20140527T000000,468000,2,1,1160,6000,1,7,860,300,1942,0,98115,1330,6000,47.69,-122.292
114101516,20140528T000000,310000,3,1,1430,19901,1.5,7,1430,0,1927,0,98028,1780,12697,47.7558,-122.229
6054650070,20141007T000000,400000,3,1.75,1370,9680,1,7,1370,0,1977,0,98074,1370,10208,47.6127,-122.045
1175000570,20150312T000000,530000,5,2,1810,4850,1.5,7,1810,0,1900,0,98107,1360,4850,47.67,-122.394
9297300055,20150124T000000,650000,4,3,2950,5000,2,9,1980,970,1979,0,98126,2140,4000,47.5714,-122.375
1875500060,20140731T000000,395000,3,2,1890,14040,2,7,1890,0,1994,0,98019,1890,14018,47.7277,-121.962
6865200140,20140529T000000,485000,4,1,1600,4300,1.5,7,1600,0,1916,0,98103,1610,4300,47.6648,-122.343
16000397,20141205T000000,189000,2,1,1200,9850,1,7,1200,0,1921,0,98002,1060,5095,47.3089,-122.21
7983200060,20150424T000000,230000,3,1,1250,9774,1,7,1250,0,1969,0,98003,1280,8850,47.3343,-122.306
6300500875,20140514T000000,385000,4,1.75,1620,4980,1,7,860,760,1947,0,98133,1400,4980,47.7025,-122.341
2524049179,20140826T000000,2000000,3,2.75,3050,44867,1,9,2330,720,1968,0,98040,4110,20336,47.5316,-122.233
7137970340,20140703T000000,285000,5,2.5,2270,6300,2,8,2270,0,1995,0,98092,2240,7005,47.3266,-122.169
8091400200,20140516T000000,252700,2,1.5,1070,9643,1,7,1070,0,1985,0,98030,1220,8386,47.3533,-122.166
3814700200,20141120T000000,329000,3,2.25,2450,6500,2,8,2450,0,1985,0,98030,2200,6865,47.3739,-122.172
1202000200,20141103T000000,233000,3,2,1710,4697,1.5,6,1710,0,1941,0,98002,1030,4705,47.3048,-122.218
1794500383,20140626T000000,937000,3,1.75,2450,2691,2,8,1750,700,1915,0,98119,1760,3573,47.6386,-122.36
3303700376,20141201T000000,667000,3,1,1400,1581,1.5,8,1400,0,1909,0,98112,1860,3861,47.6221,-122.314
5101402488,20140624T000000,438000,3,1.75,1520,6380,1,7,790,730,1948,0,98115,1520,6235,47.695,-122.304
1873100390,20150302T000000,719000,4,2.5,2570,7173,2,8,2570,0,2005,0,98052,2630,6026,47.7073,-122.11
8562750320,20141110T000000,580500,3,2.5,2320,3980,2,8,2320,0,2003,0,98027,2580,3980,47.5391,-122.07
2426039314,20141201T000000,280000,2,1.5,1190,1265,3,7,1190,0,2005,0,98133,1390,1756,47.7274,-122.357
461000390,20140624T000000,687500,4,1.75,2330,5000,1.5,7,1510,820,1929,0,98117,1460,5000,47.6823,-122.368
7589200193,20141110T000000,535000,3,1,1090,3000,1.5,8,1090,0,1929,0,98117,1570,5080,47.6889,-122.375
7955080270,20141203T000000,322500,4,2.75,2060,6659,1,7,1280,780,1981,0,98058,2020,8720,47.4276,-122.157
9547205180,20140613T000000,696000,3,2.5,2300,3060,1.5,8,1510,790,1930,2002,98115,1590,3264,47.6827,-122.31
9435300030,20140528T000000,550000,4,1,1660,34848,1,5,930,730,1933,0,98052,2160,11467,47.6621,-122.132
2768000400,20141230T000000,640000,4,2,2360,6000,2,8,2360,0,1904,0,98107,1730,4700,47.6702,-122.362
7895500070,20150213T000000,240000,4,1,1220,8075,1,7,890,330,1969,0,98001,1290,7800,47.3341,-122.282
2078500320,20140620T000000,605000,4,2.5,2620,7553,2,8,2620,0,1996,0,98056,2620,11884,47.5301,-122.18
5547700270,20140715T000000,625000,4,2.5,2570,5520,2,9,2570,0,2000,0,98074,2470,5669,47.6145,-122.027
7766200013,20140811T000000,775000,4,2.25,4220,24186,1,8,2600,1620,1984,0,98166,2410,30617,47.445,-122.347
7203220400,20140707T000000,861990,5,2.75,3595,5639,2,9,3595,0,2014,0,98053,3625,5639,47.6848,-122.016
9270200160,20141028T000000,685000,3,1,1570,2280,2,7,1570,0,1922,0,98119,1580,2640,47.6413,-122.364
1432701230,20140729T000000,309000,3,1,1280,9656,1,6,920,360,1959,0,98058,1340,8808,47.4485,-122.175
8035350320,20140718T000000,488000,3,2.5,3160,13603,2,8,3160,0,2003,0,98019,3050,9232,47.7443,-121.977
8945200830,20150325T000000,210490,3,1,990,8528,1,6,990,0,1966,0,98023,1228,8840,47.3066,-122.371
4178300310,20140716T000000,785000,4,2.5,2290,13416,2,9,2290,0,1981,0,98007,2680,13685,47.6194,-122.151
9215400105,20150428T000000,450000,3,1.75,1250,5963,1,7,1250,0,1953,0,98115,970,5100,47.6796,-122.301
822039084,20150311T000000,1350000,3,2.5,2753,65005,1,9,2165,588,1953,0,98070,2680,72513,47.4041,-122.451
5245600105,20140916T000000,228000,3,1,1190,9199,1,7,1190,0,1955,0,98148,1190,9364,47.4258,-122.322
7231300125,20150217T000000,345000,5,2.5,3150,9134,1,8,1640,1510,1966,0,98056,1990,9133,47.4934,-122.189
7518505990,20141231T000000,600000,3,1.75,1410,4080,1,7,1000,410,1950,0,98117,1410,4080,47.6808,-122.384
3626039271,20150205T000000,585000,2,1.75,1980,8550,1,7,990,990,1981,0,98117,1480,6738,47.6989,-122.369
4217401195,20150303T000000,920000,5,2.25,2730,6000,1.5,8,2130,600,1927,0,98105,2730,6000,47.6571,-122.281
9822700295,20140512T000000,885000,4,2.5,2830,5000,2,9,2830,0,1995,0,98105,1950,5000,47.6597,-122.29
9478500640,20140819T000000,292500,4,2.5,2250,4495,2,7,2250,0,2008,0,98042,2250,4500,47.3663,-122.114
2799800710,20150407T000000,301000,3,2.5,2420,4750,2,8,2420,0,2003,0,98042,2690,4750,47.3663,-122.122
7922800400,20140827T000000,951000,5,3.25,3250,14342,2,8,3250,0,1968,0,98008,2960,11044,47.588,-122.116
8079040320,20150223T000000,430000,4,3,1850,9976,2,8,1850,0,1991,0,98059,2270,8542,47.5059,-122.149
1516000055,20141210T000000,650000,3,2.25,2150,21235,1,8,1590,560,1959,0,98166,2570,18900,47.4336,-122.339
9558200045,20140828T000000,289000,3,1.75,1260,8400,1,7,1260,0,1954,0,98148,1290,8750,47.4366,-122.335
5072410070,20141021T000000,505000,3,1.75,2519,8690,2,8,2519,0,1973,0,98166,2500,9500,47.4428,-122.344
9528102996,20141207T000000,549000,3,1.75,1540,1044,3,8,1540,0,2014,0,98115,1580,3090,47.6765,-122.32
1189001180,20140603T000000,425000,3,2.25,1660,6000,1,7,1110,550,1979,0,98122,1440,4080,47.6113,-122.297
3253500160,20141120T000000,317625,3,2.75,2770,3809,1.5,7,1770,1000,1925,0,98144,1440,4000,47.5747,-122.304
3394100030,20140909T000000,975000,4,2.5,2720,11049,2,10,2720,0,1989,0,98004,2750,11049,47.5815,-122.192
3717000160,20141009T000000,287000,4,2.5,2240,4648,2,7,2240,0,2005,0,98001,2221,4557,47.3378,-122.257
1274500060,20140825T000000,204000,3,1,1000,12070,1,7,1000,0,1968,0,98042,1010,12635,47.3621,-122.11
1802000060,20140612T000000,1325000,5,2.25,3200,20158,1,8,1600,1600,1965,0,98004,3390,20158,47.6303,-122.215
1525059190,20140912T000000,1040000,5,3.25,4770,50094,1,11,3070,1700,1973,0,98005,3530,38917,47.6525,-122.16
1049000060,20150105T000000,325000,3,2,1260,5612,1,7,1260,0,1972,0,98034,1640,4745,47.7362,-122.179
8820901275,20140610T000000,571000,4,2,2750,7807,1.5,7,2250,500,1916,0,98125,1510,7807,47.7168,-122.287
5416510140,20140710T000000,360000,4,2.5,2380,5000,2,8,2380,0,2005,0,98038,2420,5000,47.3608,-122.036
3444100400,20150316T000000,349000,3,1.75,1790,50529,1,7,1090,700,1965,0,98042,1940,50529,47.3511,-122.073
3276920270,20141105T000000,832500,4,4,3430,35102,2,10,2390,1040,1986,0,98075,3240,35020,47.5822,-121.987
4036801170,20141013T000000,380000,4,1.75,1760,7300,1,7,880,880,1956,0,98008,1680,7500,47.6034,-122.125
2391600320,20150420T000000,480000,3,1,1040,5060,1,7,1040,0,1941,0,98116,890,5060,47.5636,-122.394
6300000287,20140609T000000,410000,3,1,1410,5060,1,7,910,500,1956,0,98133,1130,5693,47.7073,-122.34
1531000030,20150323T000000,720000,4,2.5,3450,39683,2,10,3450,0,2002,0,98010,3350,39750,47.342,-122.025
5104520400,20141202T000000,390000,3,2.5,2350,5100,2,8,2350,0,2003,0,98038,2350,5363,47.3512,-122.008
7437100340,20141222T000000,360000,4,2.5,1900,5889,2,7,1900,0,1992,0,98038,1870,6405,47.349,-122.031
9418400240,20141028T000000,355000,2,1,2020,6720,1,7,1010,1010,1948,0,98118,1720,6720,47.5474,-122.291
1523059105,20150128T000000,356000,3,1.5,1680,8712,1,8,1680,0,1964,0,98059,1850,8797,47.4811,-122.149
1133000671,20140602T000000,315000,3,1,960,6634,1,6,960,0,1952,0,98125,1570,7203,47.7264,-122.31
4232902595,20141114T000000,940000,3,1.5,2140,3600,2,9,1900,240,1925,0,98119,2020,4800,47.6337,-122.365
2599001200,20141103T000000,305000,5,2.25,2660,8400,1.5,7,2660,0,1961,0,98092,1590,8165,47.2909,-122.189
3342103156,20140618T000000,461000,3,3.25,2770,6278,2,9,1980,790,2006,0,98056,1900,7349,47.5228,-122.199
1332700270,20140519T000000,215000,2,2.25,1610,2040,2,7,1610,0,1979,0,98056,1950,2025,47.518,-122.194
3869900162,20140904T000000,335000,2,1.75,1030,1066,2,7,765,265,2006,0,98136,1030,1106,47.5394,-122.387
2791500270,20140522T000000,243500,4,2.5,1980,7403,2,7,1980,0,1988,0,98023,1980,7510,47.2897,-122.372
5036300431,20150311T000000,1099880,5,2.75,3520,6353,2,10,3520,0,2001,0,98199,2520,6250,47.6506,-122.391
4168000060,20150226T000000,153000,3,1,1200,10500,1,7,1200,0,1962,0,98023,1350,10500,47.322,-122.351
6021501535,20140725T000000,430000,3,1.5,1580,5000,1,8,1290,290,1939,0,98117,1570,4500,47.687,-122.386
6021501535,20141223T000000,700000,3,1.5,1580,5000,1,8,1290,290,1939,0,98117,1570,4500,47.687,-122.386
1483300570,20140908T000000,905000,4,2.5,3300,10250,1,7,2390,910,1946,1991,98040,1950,6045,47.5873,-122.249
3422049190,20150330T000000,247500,3,1.75,1960,15681,1,7,1960,0,1967,0,98032,1750,15616,47.3576,-122.277
1099611230,20140912T000000,199000,4,1.5,1160,6400,1,7,1160,0,1975,0,98023,1160,6400,47.3036,-122.378
722079104,20140711T000000,314000,3,1.75,1810,41800,1,7,1210,600,1980,0,98038,1650,135036,47.4109,-121.958
7338200240,20140516T000000,437500,3,2.5,2320,36847,2,9,2320,0,1992,0,98045,2550,35065,47.4838,-121.714
1952200240,20140611T000000,850830,3,2.5,2070,13241,1.5,9,1270,800,1910,0,98102,2200,4500,47.6415,-122.315
5200100125,20141027T000000,555000,3,2,1980,3478,1.5,7,1440,540,1929,0,98117,1610,3478,47.6775,-122.372
7214720075,20141212T000000,699950,3,2.25,2190,107593,2,8,2190,0,1983,0,98077,2570,47777,47.7731,-122.08
2450000295,20141007T000000,1088000,3,2.5,2920,8113,2,8,2920,0,1950,2010,98004,2370,8113,47.5814,-122.196
6197800045,20140924T000000,290000,3,1,1210,33919,1,7,1210,0,1954,0,98058,1640,14910,47.4375,-122.184
1328310370,20150402T000000,375000,3,2.5,2340,10005,1,8,1460,880,1978,0,98058,2250,8162,47.4431,-122.133
546000875,20140523T000000,460000,3,1,1670,4005,1.5,7,1170,500,1939,0,98117,1240,4005,47.6878,-122.38
3530510041,20140723T000000,188500,2,1.75,1240,2493,1,8,1240,0,1985,0,98198,1270,4966,47.3813,-122.322
1853000400,20150305T000000,680000,4,2.5,3140,28037,2,10,3140,0,1991,0,98077,2990,35001,47.7304,-122.082
3134100116,20140827T000000,470000,5,1.75,2030,12342,2,7,2030,0,1942,0,98052,2500,9433,47.6417,-122.109
9545230140,20140725T000000,597750,4,2.5,2310,9624,2,8,2310,0,1984,0,98027,1940,9636,47.5386,-122.053
3362400511,20150304T000000,570000,3,1.75,1260,3328,1,6,700,560,1905,0,98103,1380,3536,47.6823,-122.349
2525310310,20140916T000000,272500,3,1.75,1540,12600,1,7,1160,380,1980,0,98038,1540,11656,47.3624,-122.031
6126500060,20141124T000000,329950,3,1.75,2080,5969,1,7,1080,1000,1971,0,98108,2090,5500,47.5474,-122.295
8961960160,20141028T000000,480000,4,2.5,3230,16171,2,9,2520,710,2001,0,98001,2640,8517,47.3183,-122.253
3626039325,20141121T000000,740500,3,3.5,4380,6350,2,8,2780,1600,1900,1999,98117,1830,6350,47.6981,-122.368
3362400431,20140626T000000,518500,3,3.5,1590,1102,3,8,1590,0,2010,0,98103,1620,3166,47.6824,-122.347
4060000240,20140623T000000,205425,2,1,880,6780,1,6,880,0,1945,0,98178,1190,6780,47.5009,-122.248
3454800060,20150108T000000,171800,4,2,1570,9600,1,6,1570,0,1950,0,98168,1880,9000,47.4965,-122.303
1695900060,20150511T000000,535000,4,1,1610,2982,1.5,7,1610,0,1925,0,98144,1610,4040,47.587,-122.294
7278700070,20150102T000000,660000,3,2.5,2400,6474,1,8,1560,840,1964,0,98177,2340,10856,47.7728,-122.386
6675500070,20141119T000000,391500,3,2,1450,9132,1,7,1450,0,1987,0,98034,1580,9104,47.7288,-122.226
3626039187,20150406T000000,395000,2,1,770,6000,1,6,770,0,1953,0,98117,1710,6000,47.6999,-122.364
3524049083,20141104T000000,445000,4,1.75,2100,4400,1.5,7,1720,380,1924,0,98118,1850,4400,47.5299,-122.266
3275860240,20140618T000000,770000,3,2.25,2910,10204,2,9,2910,0,1990,0,98052,2700,13992,47.6897,-122.098
4389200955,20150302T000000,1450000,4,2.75,2750,17789,1.5,8,1980,770,1914,1992,98004,3060,11275,47.6141,-122.212
4058801670,20140717T000000,445000,3,2.25,2100,8201,1,8,1620,480,1967,0,98178,2660,8712,47.5091,-122.244
8732020310,20140717T000000,260000,4,2.25,2160,8811,1,8,1360,800,1978,0,98023,2090,8400,47.3129,-122.39
2331300505,20140613T000000,822500,5,3.5,2320,4960,2,7,1720,600,1926,0,98103,1700,4960,47.6763,-122.352
7853210060,20150406T000000,430000,4,2.5,2070,4310,2,7,2070,0,2004,0,98065,1970,3748,47.5319,-121.85
3668000070,20150105T000000,212000,3,1.75,1060,7875,1,7,1060,0,1986,0,98092,1420,7680,47.2761,-122.152
9545240070,20150428T000000,660500,4,2.25,2010,9603,1,8,1440,570,1986,0,98027,2060,9793,47.5343,-122.054
1243100136,20140612T000000,784000,3,3.5,3950,111078,1.5,9,2460,1490,1989,0,98052,2480,88500,47.697,-122.072
8929000270,20140512T000000,453246,3,2.5,2010,2287,2,8,1390,620,2014,0,98029,1690,1662,47.5517,-121.998
2767602356,20150126T000000,675000,4,3.5,2140,2278,3,9,2140,0,2005,0,98107,1540,2285,47.6734,-122.38
921049315,20140813T000000,199000,3,1.75,1320,17390,1,7,1320,0,1956,0,98003,1550,19265,47.3257,-122.296
3655000070,20140805T000000,220000,4,1.75,2020,7840,1,7,1010,1010,1968,0,98003,1750,8140,47.3309,-122.299
4027700812,20140529T000000,452000,4,2.25,2590,10002,1,8,1340,1250,1968,0,98028,1550,10436,47.7689,-122.266
3992700335,20140707T000000,382500,2,1,1190,4440,1,6,1190,0,1981,0,98125,1060,5715,47.7135,-122.287
2767603505,20140507T000000,519950,3,2.25,1170,1249,3,8,1170,0,2014,0,98107,1350,1310,47.6722,-122.381
4232901525,20140627T000000,665000,2,1,1110,3200,1,7,1110,0,1925,0,98119,1170,3600,47.6338,-122.358
1777500060,20140708T000000,527700,5,2.5,2820,9375,1,8,1550,1270,1968,0,98006,2820,9375,47.5707,-122.128
1432900240,20150508T000000,205000,3,1,1610,8579,1,7,1010,600,1962,0,98058,1610,8579,47.4563,-122.171
6140100875,20150415T000000,420000,3,1,1060,8097,1,7,940,120,1923,0,98133,1560,7940,47.7144,-122.351
6071600370,20150227T000000,500000,4,2.25,2030,8517,1,8,1380,650,1961,0,98006,2230,8824,47.5495,-122.174
1526069017,20141203T000000,921500,4,2.5,3670,315374,2,9,3670,0,1994,0,98077,2840,87991,47.7421,-122.026
809001525,20140625T000000,890000,4,1,2550,4000,2,8,2370,180,1905,0,98109,2200,4000,47.6354,-122.353
3224079105,20140806T000000,430000,2,2.5,2420,60984,2,7,2420,0,2007,0,98027,1940,193842,47.5262,-121.943
8075400570,20141030T000000,258000,5,2,2260,12500,1,8,1130,1130,1960,0,98032,1360,18000,47.3887,-122.286
1994200024,20141104T000000,511000,3,1,1430,3455,1,7,980,450,1947,0,98103,1450,4599,47.6873,-122.336
3362900810,20140820T000000,532170,3,2,1360,3090,2,8,1360,0,1990,0,98103,1500,3090,47.6838,-122.353
1324300398,20150409T000000,560000,3,1,1110,5000,1.5,7,1110,0,1947,0,98107,1420,5000,47.655,-122.359
537000445,20150331T000000,282950,3,1,1250,8200,1,7,1250,0,1954,0,98003,1680,8633,47.3255,-122.304
7855801670,20150401T000000,2250000,4,3.25,5180,19850,2,12,3540,1640,2006,0,98006,3160,9750,47.562,-122.162
7920100045,20140516T000000,350000,1,1,700,5100,1,7,700,0,1942,0,98115,1010,5100,47.679,-122.3
8960000030,20140728T000000,215000,3,1,1180,7669,1,7,1180,0,1967,0,98058,1190,7669,47.4479,-122.176
6388930390,20141120T000000,650000,5,3.5,3960,25245,2,9,2500,1460,1996,0,98056,2640,13675,47.525,-122.172
8731900200,20140807T000000,320000,4,2.75,2640,7500,1,8,1620,1020,1967,0,98023,1980,7875,47.3135,-122.369
8029200135,20141113T000000,247000,3,2,1270,7198,1.5,7,1270,0,1916,2013,98022,1160,7198,47.2086,-121.996
1081200350,20141003T000000,320000,4,1.75,1760,11180,1,8,1760,0,1968,0,98059,1730,11180,47.4715,-122.118
84000105,20140507T000000,255000,5,2.25,2060,8632,1,7,1030,1030,1962,0,98146,1010,11680,47.4877,-122.335
3756500060,20150309T000000,438000,3,1.75,1780,9660,1,7,1780,0,1962,0,98034,1200,9660,47.7171,-122.193
7215720160,20150304T000000,900000,3,2.5,3400,16603,2,10,3400,0,2000,0,98075,3400,12601,47.6012,-122.023
3574800520,20140620T000000,441000,3,2.75,1910,7280,1,7,1160,750,1979,0,98034,1710,8152,47.7319,-122.224
2617300160,20140812T000000,420000,3,2,2020,38332,1,7,1010,1010,1975,0,98027,2110,36590,47.4582,-122.023
